ticker,market,mine,price,ret_1m,ret_3m,above_ma200,volume_ratio,rsi14,slowdown,vol_1m,revenue_growth,earnings_growth,pe_improve,forward_pe,rising_score,plateau_risk,outlook,score,news_tone,market_tone,direction,range_low,range_high,wide_low,wide_high
8306.T,JP,0,3573.0,0.018529076396807342,0.07200720072007205,0.18044992143799532,1.0422334760037097,44.764331692774256,0.005473323843216676,0.09,0.288,0.509,0.6416515230764797,23.556171,66.7,32.1,上昇継続の可能性,67.0,追い風,中立,上向き,3265.49,3909.46,2995.21,4262.24
7203.T,JP,0,2969.0,-0.05204342273307794,0.08298376801021345,-0.06169409885665078,0.9578161262833231,43.025542836935145,0.07970467873648242,0.091,0.104,0.869,0.9397681340980079,9.157362,52.9,33.3,上昇していない,56.4,中立,中立,横ばい,2710.75,3251.86,2483.98,3548.72
6861.T,JP,0,77270.0,-0.029399483520597625,-0.00562918744396923,0.13600517714291582,0.9134368296982183,46.28857759315543,0.027523087705941213,0.1172,0.328,0.51,1.006961519490384,41.37861,61.7,60.4,上昇していない,56.2,中立,中立,横ばい,68722.37,86880.77,61407.57,97229.92
6857.T,JP,0,33060.0,-0.079108635097493,0.0276655268884054,0.22742193396575616,0.9329813258950971,51.73505474051764,0.08833047739362813,0.2141,0.393,0.953,0.446634229152171,139.06532,67.5,77.9,頭打ち注意,56.2,追い風,中立,やや上向き,26689.02,40951.81,21731.07,50294.97
4661.T,JP,1,2956.5,-0.016794146990355863,0.2729817007534985,0.0963218325132762,0.8546235282920629,45.158930707981824,0.10778804724152202,0.0958,0.104,0.502,1.1760354461636024,33.80789,62.5,69.6,頭打ち注意,54.5,,中立,横ばい,2686.38,3253.78,2450.32,3567.25
6501.T,JP,0,5497.0,0.05792917628945338,0.13013980263157898,0.0944288630943444,0.9632541152085596,57.8545312177359,-0.01454924207892705,0.1176,0.2,0.005,1.0126776909166726,30.859484,57.1,55.0,様子見,54.1,追い風,中立,やや上向き,4887.26,6182.81,4365.63,6921.57
9984.T,JP,0,6352.0,0.2087535680304471,-0.12313638873550525,0.23509656311159532,1.4609384905034168,57.39866867131247,-0.24979903094228217,0.2506,0.109,-0.178,0.3363786493615818,21.511057,48.8,37.5,上昇していない,52.2,中立,中立,横ばい,4944.13,8160.77,3887.07,10380.03
6758.T,JP,0,3663.0,-0.032232496697490065,0.15080113100848247,0.021680668781789425,0.7421163313005507,44.703211746773135,0.08249954036698423,0.1002,0.082,0.476,0.9923085506188913,19.994541,48.3,47.9,様子見,49.2,追い風,中立,やや上向き,3313.75,4049.06,3009.84,4457.9
8035.T,JP,0,53920.0,-0.006815251427518931,-0.3069408740359897,0.09798721022386614,0.8553954346729147,48.219474109106606,-0.0954983732511443,0.1643,0.333,0.404,1.0060431516661832,42.11842,48.3,55.0,上昇していない,47.5,追い風,中立,やや上向き,45751.21,63547.31,39075.92,74403.01
9433.T,JP,1,3031.0,0.03961584633853543,0.1500664010624171,0.11273367284249236,1.0930238176978828,56.096999395570705,0.010406287348936928,0.0691,0.036,0.194,0.012690631816652757,1300.8584,51.7,65.0,様子見,47.5,,中立,横ばい,2828.75,3247.71,2647.3,3470.32
7974.T,JP,0,8196.0,-0.04686591464123735,0.17085714285714282,-0.05293465004309972,0.691308438555017,45.800223996292246,0.1038182955936183,0.1151,-0.095,0.55,0.9501911553239261,24.08251,50.0,67.9,上昇していない,45.5,中立,中立,横ばい,7304.92,9195.78,6540.77,10270.12
